GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationListenerAdaptor,0,11,0,0,0,9,0,9,0,9
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationObserver,30,474,5,42,8,105,8,45,3,26
Apache Commons IO,org.apache.commons.io.monitor,FileEntry,31,166,6,16,12,37,11,23,5,18
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationMonitor,4,174,1,19,3,56,1,23,0,14
Apache Commons IO,org.apache.commons.io.monitor,SerializableFileTime,9,66,2,2,3,18,3,11,1,11
Apache Commons IO,org.apache.commons.io.serialization,ValidatingObjectInputStream,6,182,0,10,2,34,0,19,0,14
Apache Commons IO,org.apache.commons.io.serialization,RegexpClassNameMatcher,0,20,0,0,0,6,0,3,0,3
Apache Commons IO,org.apache.commons.io.serialization,WildcardClassNameMatcher,0,11,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io.serialization,FullClassNameMatcher,0,16,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io.input.buffer,PeekableInputStream,64,0,4,0,12,0,6,0,4,0
Apache Commons IO,org.apache.commons.io.input.buffer,CircularByteBuffer,305,132,45,13,45,29,31,11,6,7
Apache Commons IO,org.apache.commons.io.input.buffer,CircularBufferInputStream,31,137,5,17,5,41,6,13,1,7
Apache Commons IO,org.apache.commons.io,FileExistsException,20,0,0,0,6,0,3,0,3,0
Apache Commons IO,org.apache.commons.io,DirectoryWalker,1,209,0,24,1,55,1,27,1,15
Apache Commons IO,org.apache.commons.io,EndianUtils,0,749,0,4,0,86,0,33,0,31
Apache Commons IO,org.apache.commons.io,FileUtils,1869,813,159,43,375,175,196,84,107,72
Apache Commons IO,org.apache.commons.io,FilenameUtils,62,1575,23,347,17,361,21,213,2,47
Apache Commons IO,org.apache.commons.io,RandomAccessFileMode,8,53,0,0,2,10,2,4,2,4
Apache Commons IO,org.apache.commons.io,FileSystemUtils,97,633,26,69,20,131,23,41,2,13
Apache Commons IO,org.apache.commons.io,ThreadUtils,3,24,1,1,1,7,2,2,1,2
Apache Commons IO,org.apache.commons.io,StreamIterator,43,0,4,0,15,0,7,0,5,0
Apache Commons IO,org.apache.commons.io,FileCleaningTracker.Reaper,0,50,0,6,0,15,0,5,0,2
Apache Commons IO,org.apache.commons.io,Charsets,3,82,0,6,1,19,1,9,1,6
Apache Commons IO,org.apache.commons.io,CloseableURLConnection,196,32,0,0,54,8,43,5,43,5
Apache Commons IO,org.apache.commons.io,IOIndexedException,0,48,0,4,0,8,0,5,0,3
Apache Commons IO,org.apache.commons.io,FileCleaningTracker.Tracker,0,27,0,2,0,6,0,4,0,3
Apache Commons IO,org.apache.commons.io,IOExceptionList,0,95,0,12,0,16,0,17,0,11
Apache Commons IO,org.apache.commons.io,FileCleaner,31,7,0,0,12,2,7,2,7,2
Apache Commons IO,org.apache.commons.io,FileDeleteStrategy.ForceFileDeleteStrategy,0,8,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io,StandardLineSeparator,0,43,0,0,0,9,0,4,0,4
Apache Commons IO,org.apache.commons.io,IOExceptionWithCause,4,5,0,0,2,2,1,1,1,1
Apache Commons IO,org.apache.commons.io,HexDump,3,353,0,26,2,43,1,19,1,6
Apache Commons IO,org.apache.commons.io,ByteOrderMark,0,295,0,20,0,47,0,19,0,9
Apache Commons IO,org.apache.commons.io,IOCase,5,218,2,32,1,33,3,31,1,16
Apache Commons IO,org.apache.commons.io,DirectoryWalker.CancelException,0,22,0,0,0,8,0,4,0,4
Apache Commons IO,org.apache.commons.io,LineIterator,3,101,0,12,2,33,1,13,1,7
Apache Commons IO,org.apache.commons.io,ThreadMonitor,0,53,0,6,0,19,0,8,0,5
Apache Commons IO,org.apache.commons.io,UncheckedIOExceptions,0,19,0,0,0,3,0,2,0,2
Apache Commons IO,org.apache.commons.io,ByteOrderParser,0,34,0,4,0,5,0,3,0,1
Apache Commons IO,org.apache.commons.io,FileDeleteStrategy,12,55,1,7,1,15,1,9,0,6
Apache Commons IO,org.apache.commons.io,FileSystem,122,623,26,28,30,57,23,30,6,20
Apache Commons IO,org.apache.commons.io,IOUtils,211,1939,43,245,51,473,50,258,16,148
Apache Commons IO,org.apache.commons.io,FileCleaningTracker,3,108,1,5,1,28,2,10,1,8
Apache Commons IO,org.apache.commons.io,TaggedIOException,3,37,1,7,1,9,2,7,1,4
Apache Commons IO,org.apache.commons.io,CopyUtils,0,160,0,4,0,47,0,15,0,13
Apache Commons IO,org.apache.commons.io.charset,CharsetEncoders,0,7,0,2,0,1,0,2,0,1
Apache Commons IO,org.apache.commons.io.charset,CharsetDecoders,0,7,0,2,0,1,0,2,0,1
Apache Commons IO,org.apache.commons.io.build,AbstractSupplier,0,5,0,0,0,2,0,2,0,2
Apache Commons IO,org.apache.commons.io.build,AbstractOrigin.FileOrigin,0,13,0,0,0,4,0,3,0,3
Apache Commons IO,org.apache.commons.io.build,AbstractOrigin.URIOrigin,4,12,0,0,1,4,1,3,1,3
Apache Commons IO,org.apache.commons.io.build,AbstractOrigin.PathOrigin,0,13,0,0,0,4,0,3,0,3
Apache Commons IO,org.apache.commons.io.build,AbstractOrigin.ReaderOrigin,0,8,0,0,0,3,0,2,0,2
Apache Commons IO,org.apache.commons.io.build,AbstractOrigin.InputStreamOrigin,0,8,0,0,0,3,0,2,0,2
Apache Commons IO,org.apache.commons.io.build,AbstractOrigin.OutputStreamOrigin,0,8,0,0,0,3,0,2,0,2
Apache Commons IO,org.apache.commons.io.build,AbstractOriginSupplier,22,109,4,0,5,22,5,21,3,21
Apache Commons IO,org.apache.commons.io.build,AbstractStreamBuilder,17,76,4,2,4,19,5,10,2,10
Apache Commons IO,org.apache.commons.io.build,AbstractOrigin.WriterOrigin,0,8,0,0,0,3,0,2,0,2
Apache Commons IO,org.apache.commons.io.build,AbstractOrigin,34,16,0,0,6,5,6,3,6,3
Apache Commons IO,org.apache.commons.io.comparator,NameFileComparator,0,67,0,0,0,14,0,5,0,5
Apache Commons IO,org.apache.commons.io.comparator,DirectoryFileComparator,0,28,0,2,0,5,0,5,0,4
Apache Commons IO,org.apache.commons.io.comparator,SizeFileComparator,0,101,2,14,0,23,2,11,0,5
Apache Commons IO,org.apache.commons.io.comparator,LastModifiedFileComparator,0,33,0,4,0,9,0,5,0,3
Apache Commons IO,org.apache.commons.io.comparator,PathFileComparator,0,67,0,0,0,14,0,5,0,5
Apache Commons IO,org.apache.commons.io.comparator,ReverseFileComparator,0,31,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.comparator,CompositeFileComparator,0,110,0,10,0,18,0,14,0,9
Apache Commons IO,org.apache.commons.io.comparator,DefaultFileComparator,0,17,0,0,0,4,0,3,0,3
Apache Commons IO,org.apache.commons.io.comparator,AbstractFileComparator,0,21,0,4,0,8,0,6,0,4
Apache Commons IO,org.apache.commons.io.comparator,ExtensionFileComparator,0,73,0,0,0,16,0,5,0,5
Apache Commons IO,org.apache.commons.io.input,CloseShieldReader,0,13,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.input,Tailer.TailablePath,21,38,0,0,2,8,2,5,2,5
Apache Commons IO,org.apache.commons.io.input,ClosedInputStream,0,12,0,0,0,4,0,3,0,3
Apache Commons IO,org.apache.commons.io.input,UnsupportedOperationExceptions,3,18,0,0,1,3,1,3,1,3
Apache Commons IO,org.apache.commons.io.input,CharacterFilterReader,0,18,0,2,0,4,0,4,0,3
Apache Commons IO,org.apache.commons.io.input,BrokenReader,0,57,0,0,0,14,0,12,0,12
Apache Commons IO,org.apache.commons.io.input,Tailer.Builder,5,94,1,1,2,21,2,8,1,8
Apache Commons IO,org.apache.commons.io.input,ReadAheadInputStream.Builder,9,24,2,2,2,2,3,2,1,2
Apache Commons IO,org.apache.commons.io.input,UnsynchronizedByteArrayInputStream,0,246,0,30,0,54,0,26,0,11
Apache Commons IO,org.apache.commons.io.input,MemoryMappedFileInputStream,4,223,1,21,1,56,2,22,1,12
Apache Commons IO,org.apache.commons.io.input,UnsynchronizedBufferedInputStream,564,24,99,1,118,8,59,2,9,2
Apache Commons IO,org.apache.commons.io.input,BufferedFileChannelInputStream.Builder,0,12,0,0,0,2,0,2,0,2
Apache Commons IO,org.apache.commons.io.input,SequenceReader,6,142,3,21,2,39,3,15,0,6
Apache Commons IO,org.apache.commons.io.input,UncheckedFilterInputStream,10,76,0,0,1,11,2,14,2,14
Apache Commons IO,org.apache.commons.io.input,ByteBufferCleaner.Java9Cleaner,0,42,0,0,0,9,0,2,0,2
Apache Commons IO,org.apache.commons.io.input,MessageDigestCalculatingInputStream.MessageDigestMaintainingObserver,6,13,0,0,2,5,1,2,1,2
Apache Commons IO,org.apache.commons.io.input,XmlStreamReader,45,1381,11,147,9,201,10,95,1,25
Apache Commons IO,org.apache.commons.io.input,QueueInputStream,0,24,0,2,0,6,0,4,0,3
Apache Commons IO,org.apache.commons.io.input,RandomAccessFileInputStream.Builder,23,33,1,3,3,7,2,4,1,3
Apache Commons IO,org.apache.commons.io.input,Tailer.RandomAccessFileBridge,0,28,0,0,0,9,0,5,0,5
Apache Commons IO,org.apache.commons.io.input,CloseShieldInputStream,0,13,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.input,UnsynchronizedFilterInputStream,4,46,0,0,2,13,1,9,1,9
Apache Commons IO,org.apache.commons.io.input,WindowsLineEndingInputStream,2,117,0,26,1,37,1,18,1,5
Apache Commons IO,org.apache.commons.io.input,BoundedInputStream,88,116,6,12,24,26,14,13,11,7
